	Cell1	Cell2	Cell3	Cell4	Cell5	Cell6	Cell7	Cell8	Cell9	Cell10	Cell11	Cell12	Cell13	Cell14	Cell15	Cell16	Cell17	Cell18	Cell19	Cell20	Cell21	Cell22	Cell23	Cell24	Cell25	Cell26	Cell27	Cell28	Cell29	Cell30	Cell31	Cell32	Cell33	Cell34	Cell35	Cell36	Cell37	Cell38	Cell39	Cell40	Cell41	Cell42	Cell43	Cell44	Cell45	Cell46	Cell47	Cell48	Cell49	Cell50	Cell51	Cell52	Cell53	Cell54	Cell55	Cell56	Cell57	Cell58	Cell59	Cell60	Cell61	Cell62	Cell63	Cell64	Cell65
EME1	0.49	0.15	0.03	0.16	0.98	0.57	0.08	0.85	0.64	0.38	0.65	0.98	0.05	0.35	0.11	0.99	0.28	0.96	0.55	0.35	0.93	0.68	0.65	0.63	0.62	0.75	0.30	0.44	0.19	0.50	0.46	0.18	0.82	0.58	0.77	0.27	0.67	0.39	0.85	0.86	0.60	0.94	0.56	0.73	0.72	0.79	0.82	0.84	0.01	0.27	0.78	0.84	0.48	0.89	0.79	0.08	0.74	0.17	0.62	0.94	0.90	0.04	0.13	1.00	0.68
ZFP652	0.72	0.36	0.40	0.83	0.67	0.67	0.82	0.23	0.42	0.91	0.93	0.01	0.02	0.87	0.49	0.64	0.10	0.29	0.93	0.26	0.38	0.22	0.45	0.87	0.48	0.50	0.42	0.97	0.11	0.36	0.49	0.37	0.68	0.14	0.47	0.02	0.67	0.55	0.81	0.38	0.47	0.79	0.05	0.38	0.63	0.90	0.22	0.59	0.06	0.99	0.85	0.10	0.61	0.32	0.85	0.90	0.71	0.72	0.41	0.51	0.96	0.23	0.55	0.85	0.25
ATIC	0.40	0.08	0.54	0.42	0.68	0.14	0.79	0.85	0.45	0.38	0.09	0.10	0.62	0.76	0.82	0.64	0.95	0.80	0.23	0.85	0.59	0.58	0.92	0.33	0.58	0.90	0.22	0.58	0.59	0.17	0.96	0.21	0.24	0.43	0.75	0.24	0.48	0.64	0.23	0.55	0.93	0.18	0.92	0.44	0.78	0.64	0.76	0.43	0.80	0.25	0.75	0.64	0.28	0.17	0.49	0.41	0.70	0.30	0.26	0.60	0.25	0.39	0.69	0.19	0.83
CDK5RAP3	0.84	0.72	0.28	0.98	0.96	0.65	0.51	0.31	0.59	0.40	0.86	0.63	0.63	0.11	0.84	0.38	0.93	0.09	0.71	0.80	0.05	0.44	0.25	0.61	0.27	0.33	0.15	0.53	0.54	0.52	0.78	0.08	0.93	0.29	0.87	0.49	0.21	0.70	0.27	0.07	0.06	0.09	0.83	0.78	0.49	0.93	0.71	0.10	0.39	0.62	0.57	0.66	0.25	0.32	0.94	0.89	0.10	0.60	1.00	0.08	0.08	0.56	0.23	0.16	0.96
SOCS7	0.31	0.82	0.88	0.25	0.81	0.05	0.67	0.50	0.97	0.39	0.70	0.19	0.28	0.75	0.38	0.44	0.66	0.57	0.12	0.36	0.95	0.74	0.39	0.99	0.14	0.51	0.89	0.03	0.42	0.72	0.53	0.43	0.45	0.91	0.56	0.97	0.35	0.79	0.79	0.37	0.88	0.78	0.02	0.02	0.34	0.76	0.11	0.03	0.92	0.93	0.06	0.10	0.87	0.76	0.70	0.17	0.78	0.10	0.77	0.23	0.75	0.42	0.23	0.80	0.08
RPL23	0.74	0.90	0.52	0.94	0.94	0.82	0.84	1.00	0.92	0.08	0.22	0.44	0.16	0.76	0.05	0.78	0.21	0.98	0.76	0.83	0.48	0.70	0.02	0.97	0.38	0.16	0.75	0.25	0.17	0.78	0.34	0.67	0.63	0.87	0.28	0.30	0.21	0.29	0.29	0.85	0.84	0.04	0.39	0.36	0.79	0.67	0.35	0.21	0.29	0.63	0.64	0.73	0.84	0.44	0.92	0.91	0.24	0.23	0.18	0.06	0.43	0.31	0.70	0.86	0.50
STARD3	0.88	0.35	0.14	0.04	0.26	0.95	0.45	0.62	0.59	0.44	0.57	0.24	0.71	0.30	0.43	0.53	0.01	0.11	0.45	0.27	0.75	0.51	0.79	0.89	0.34	0.78	0.51	0.23	0.12	0.95	0.88	0.87	0.95	0.88	0.40	0.88	0.01	0.30	0.03	0.28	0.77	0.51	0.20	0.46	0.78	0.36	0.06	0.72	0.66	0.11	0.08	0.26	0.56	0.15	0.98	0.48	0.96	0.91	0.28	0.38	0.08	0.27	0.67	0.46	0.86
TNS4	0.63	0.58	0.88	0.32	0.71	0.77	0.08	0.98	0.74	0.96	0.64	0.88	0.53	0.35	0.35	0.39	0.92	0.34	0.78	0.57	0.65	0.33	0.34	0.16	0.60	0.57	0.53	0.53	0.94	0.47	0.11	0.19	0.82	0.93	0.99	0.20	0.18	0.52	0.25	0.26	0.81	0.97	0.91	0.77	0.70	0.12	0.41	0.96	0.01	0.50	0.42	0.88	0.91	0.41	0.72	0.81	0.85	0.29	0.97	0.64	0.37	0.58	0.16	0.29	0.20
CNP	0.07	0.61	0.96	0.34	0.23	0.91	0.55	0.30	0.46	0.80	0.03	0.55	0.18	0.97	0.54	0.27	0.93	0.29	0.69	0.08	0.47	0.98	0.23	0.22	0.50	0.01	0.95	0.11	0.96	0.56	0.68	0.79	0.56	0.25	0.91	0.58	0.39	0.97	0.55	0.35	0.17	0.10	0.06	0.93	0.13	0.11	0.23	0.92	0.54	0.23	0.98	0.93	0.17	0.66	0.14	0.02	0.31	0.20	0.62	0.42	0.07	0.10	0.84	0.86	0.85
STAT3	0.10	0.59	0.94	0.30	0.99	0.48	0.19	0.44	0.33	0.96	0.41	0.43	0.57	0.05	0.66	0.70	0.42	0.24	0.01	0.18	0.64	0.72	0.97	0.76	0.37	0.33	0.68	0.48	0.80	0.16	0.87	0.26	0.87	0.86	0.95	0.13	0.44	0.43	0.57	0.76	0.19	0.94	0.40	0.37	0.60	0.06	0.64	0.17	0.72	0.07	0.32	0.64	0.53	0.92	0.81	0.18	0.78	0.74	0.55	0.93	0.36	0.54	0.09	0.96	0.84
CCDC56	0.32	0.16	0.51	0.68	0.84	0.27	0.58	0.40	0.11	0.29	0.45	0.09	0.25	0.24	0.31	0.06	0.71	0.90	0.24	0.88	0.70	0.52	0.10	0.88	0.45	0.52	0.59	0.65	0.16	0.85	0.62	0.08	0.08	0.19	0.65	0.52	0.23	0.76	0.28	0.38	0.27	0.34	0.88	0.91	0.83	0.84	0.70	0.35	0.79	0.03	0.06	0.17	0.25	0.61	0.48	0.35	0.69	0.92	0.09	0.31	0.37	0.14	0.21	0.26	0.92
VAT1	0.34	0.15	1.00	0.67	0.29	0.93	0.07	0.72	0.65	0.76	0.22	0.51	0.37	0.58	0.58	0.53	0.08	0.94	0.12	1.00	0.27	0.24	0.27	0.53	0.19	0.75	0.89	0.92	0.11	0.93	0.57	0.25	0.69	0.52	0.73	0.23	0.03	0.04	0.78	0.66	0.79	0.59	0.63	0.73	0.37	0.58	0.97	0.81	0.80	0.16	0.59	0.39	0.08	0.31	0.92	0.01	0.51	0.26	0.78	0.11	0.46	0.02	0.95	0.30	0.69
LSM12	1.00	0.73	0.13	0.91	0.17	0.10	0.69	0.49	0.01	0.25	0.06	0.60	0.72	0.72	0.02	0.58	0.13	0.67	0.87	0.15	0.10	0.05	0.93	0.69	0.66	0.62	0.36	0.88	0.76	0.31	0.75	0.03	0.05	0.20	0.94	0.53	0.31	0.87	0.67	0.10	0.44	0.36	0.50	0.53	0.75	0.92	0.13	0.89	0.84	0.14	0.54	0.45	0.08	0.02	0.80	0.59	0.39	0.60	0.39	0.13	0.78	0.41	0.28	0.39	0.30
GPATCH8	0.30	0.96	0.12	0.07	0.53	0.83	0.70	0.97	0.13	0.30	0.83	0.42	0.24	0.62	0.67	0.80	0.04	0.35	0.38	0.84	0.13	0.13	0.54	0.34	0.75	0.72	0.49	0.36	0.18	0.39	0.59	0.42	1.00	0.17	0.90	0.53	0.47	0.52	0.31	0.07	0.61	0.31	0.06	0.32	0.94	0.56	0.10	0.76	0.36	0.57	0.24	0.40	0.68	0.72	0.30	0.89	0.44	0.38	0.68	0.01	0.63	0.23	0.23	0.40	0.31
HEXIM1	1.00	0.58	0.96	0.97	0.27	0.71	0.73	0.01	0.33	0.15	0.13	0.46	0.12	0.18	0.28	0.19	0.98	0.66	0.34	0.37	0.26	0.23	0.59	0.09	0.62	0.21	0.79	0.37	0.93	0.61	0.72	0.36	0.29	0.36	0.26	0.34	0.34	0.68	0.21	0.87	0.13	0.48	0.42	0.48	0.97	0.68	0.12	0.64	0.71	0.03	0.67	0.87	0.22	0.45	0.01	0.15	0.31	0.04	0.09	0.93	0.03	0.22	0.46	0.59	0.71
CTDSP1	0.81	0.41	0.05	0.05	0.90	0.04	0.67	0.42	0.62	0.22	0.48	0.43	0.70	0.57	0.12	0.65	0.46	0.65	0.50	0.32	0.14	0.26	0.58	0.88	0.33	0.37	0.13	0.41	0.71	0.39	0.40	0.18	0.37	0.99	0.40	0.98	0.68	0.65	0.98	0.12	0.00	0.56	0.77	0.31	0.40	0.55	0.73	0.27	0.91	0.88	0.05	0.84	0.48	0.65	0.76	0.36	0.61	0.08	0.79	0.73	0.42	0.54	0.28	0.68	0.97
TLK2	0.54	0.85	0.68	0.59	0.41	0.67	0.82	0.94	0.44	0.12	0.20	0.68	0.21	0.74	0.12	0.08	0.48	0.27	0.63	0.93	0.80	0.09	0.94	0.38	0.57	0.03	0.36	0.27	0.55	0.70	0.43	0.04	0.32	0.31	0.02	0.16	0.08	0.65	0.22	0.99	0.11	0.57	0.53	0.36	0.73	0.99	0.46	0.65	0.42	0.98	0.37	0.36	0.46	0.88	0.26	0.25	0.53	0.61	0.32	0.08	0.81	0.09	0.08	0.32	0.28
DDX42	0.61	0.23	0.70	0.89	0.13	0.19	0.28	0.53	0.08	0.13	0.72	0.90	0.51	0.54	0.64	0.25	0.06	0.25	0.45	0.38	0.57	0.05	0.16	0.71	0.57	0.14	0.89	0.45	0.96	0.34	0.07	0.54	0.80	0.11	0.06	0.51	0.88	0.18	0.43	0.82	0.81	0.43	0.82	0.78	0.71	0.02	0.39	0.62	0.11	0.88	0.49	0.74	0.85	0.32	0.18	0.86	0.00	0.75	0.87	0.69	0.86	0.23	0.84	0.44	0.52
SMURF2	0.88	0.97	0.86	0.65	0.76	0.95	0.47	0.98	0.87	0.75	0.92	0.77	0.92	0.21	0.64	0.92	0.90	0.34	0.58	0.17	0.15	0.25	0.23	0.62	0.59	0.62	0.72	0.78	0.40	0.69	0.04	0.03	0.51	0.52	0.02	0.99	0.11	0.40	0.86	0.03	0.08	0.48	0.96	0.61	0.58	0.03	0.73	0.50	0.60	0.98	0.37	0.69	0.13	0.66	0.29	0.78	0.02	0.06	0.75	0.80	0.64	0.11	0.16	0.78	0.91
PRKCA	0.85	0.85	0.04	0.12	0.67	0.19	0.77	0.70	0.24	0.67	0.09	0.56	0.99	0.62	0.44	0.53	0.97	0.34	0.17	0.54	0.45	0.96	0.50	0.34	0.44	0.29	0.52	0.74	0.32	0.65	0.50	0.24	0.68	0.28	0.06	0.99	0.09	0.88	0.08	0.69	0.47	0.46	0.80	0.38	0.43	0.88	0.62	0.23	0.54	0.50	0.23	0.09	0.97	0.50	0.85	0.01	0.64	0.42	0.91	0.06	0.89	0.23	0.19	0.97	0.02
SLC39A11	0.34	0.25	0.49	0.15	0.51	0.26	0.68	0.97	0.45	0.49	0.58	0.93	0.75	0.78	0.44	0.60	0.39	0.49	0.62	0.94	0.34	0.74	0.38	0.70	0.10	0.71	0.15	0.37	0.32	0.47	0.29	0.72	0.23	0.23	0.17	0.79	0.77	0.06	0.31	0.76	0.88	0.87	0.67	0.20	0.27	0.97	0.22	0.64	0.22	0.08	0.60	0.33	0.57	0.28	0.55	0.71	0.03	0.05	0.07	0.53	0.59	0.48	0.04	0.48	0.24
CD300A	0.72	0.47	0.90	0.71	0.03	0.48	0.10	0.93	0.08	0.22	0.24	0.12	0.92	0.95	0.37	0.40	0.77	0.28	0.08	0.66	0.53	0.83	0.88	0.98	0.83	0.42	0.69	0.69	0.45	0.88	0.03	0.42	0.63	0.83	0.84	0.49	0.57	0.75	0.50	0.87	0.57	0.41	0.93	0.33	0.87	0.57	0.10	0.47	0.48	0.33	0.61	0.89	0.57	0.08	0.75	0.82	0.82	0.38	0.26	0.37	0.28	0.41	0.29	0.05	0.56
ATP5H	0.56	0.91	0.84	0.31	0.08	0.57	0.38	0.46	0.25	0.70	0.72	0.17	0.73	0.28	0.91	0.08	0.15	0.55	0.09	0.97	0.64	0.14	0.66	0.50	0.44	0.19	0.20	0.36	0.60	0.11	0.68	0.91	0.39	0.78	0.88	0.71	0.18	0.42	0.51	0.94	0.43	0.22	0.08	0.06	0.87	0.65	0.13	0.15	0.32	0.52	0.40	0.14	0.78	0.41	0.03	0.20	0.55	0.38	0.24	0.35	0.23	0.57	0.19	0.35	0.22
SLC25A19	0.19	0.08	0.26	0.07	0.20	0.18	0.72	0.66	0.39	0.48	0.33	0.21	0.86	0.98	0.74	0.91	0.32	0.54	0.39	0.75	0.33	0.05	0.21	0.77	0.58	0.00	0.89	0.28	0.66	0.26	0.60	0.86	0.65	0.10	0.72	0.21	0.86	0.38	0.35	0.16	0.52	0.27	0.69	0.44	0.81	0.81	0.01	0.27	0.89	0.40	0.34	0.53	0.60	0.84	0.14	0.07	0.51	0.35	0.67	0.49	0.35	0.62	0.62	0.04	0.44
LACTB2	0.77	0.50	0.70	0.62	0.28	0.06	0.15	0.60	0.07	0.73	0.93	0.41	0.82	0.95	0.81	0.69	0.05	0.21	0.40	0.88	0.66	0.47	0.41	0.42	0.60	0.87	0.69	0.63	0.02	0.96	0.09	0.51	0.49	0.53	0.34	0.55	0.50	0.09	0.11	0.68	0.76	0.99	0.63	0.21	0.75	0.28	0.85	0.09	0.77	0.47	0.73	0.90	0.12	0.15	0.38	0.70	0.68	0.34	0.55	0.07	0.65	0.31	0.28	0.94	0.28
RHBDF2	0.10	0.52	0.08	0.86	0.71	0.57	0.89	0.35	0.82	0.20	0.04	0.50	0.18	0.02	0.83	0.39	0.59	0.21	0.74	0.71	0.77	0.73	0.98	0.78	1.00	0.40	0.65	0.35	0.66	0.17	0.93	0.43	0.51	0.14	0.72	0.02	0.68	0.93	0.36	0.44	0.28	0.93	0.74	0.46	0.93	0.98	0.54	0.83	0.00	0.78	0.46	0.31	0.00	0.61	0.62	0.73	0.07	0.23	0.09	0.65	0.19	0.61	0.25	0.42	0.05
SEC14L1	0.28	0.76	0.77	0.00	0.36	0.30	0.47	0.49	0.56	0.06	0.32	0.08	0.29	0.43	0.50	0.72	0.03	0.15	0.11	0.26	1.00	0.76	0.53	0.62	0.56	0.11	0.88	0.44	0.80	0.89	0.79	0.45	0.18	0.24	0.06	0.81	0.90	0.85	0.03	0.69	0.77	0.21	0.13	0.18	0.31	0.08	0.16	0.65	0.09	0.22	0.66	0.66	0.41	0.81	0.59	0.85	0.64	0.52	0.00	0.47	0.39	0.10	0.24	0.48	0.57
PGS1	0.84	0.94	0.54	0.53	0.54	0.58	0.58	0.11	0.08	0.86	0.58	0.65	0.99	0.17	0.06	0.93	0.12	0.31	0.34	0.49	0.83	0.15	0.86	0.13	0.30	0.46	0.06	0.86	0.22	0.33	0.67	0.20	0.63	0.48	0.85	0.45	0.73	0.58	0.47	0.02	0.55	0.75	0.95	0.13	0.80	0.81	0.10	0.71	0.85	0.19	0.63	0.22	0.88	0.08	0.13	0.68	0.12	0.70	0.57	0.76	0.05	0.07	0.58	0.31	0.92
EIF4A3	0.95	0.58	0.65	0.24	0.34	0.09	0.33	0.92	0.03	0.81	0.57	0.37	0.80	0.04	0.08	0.75	0.61	0.12	0.31	0.72	0.33	0.65	0.86	0.80	0.49	0.07	0.57	0.18	0.85	0.40	0.38	0.30	0.27	0.15	0.49	0.19	0.69	0.09	0.30	0.15	0.31	0.36	0.86	0.84	0.01	0.32	0.24	0.17	0.47	0.53	0.21	0.10	0.01	0.17	0.80	0.08	0.30	0.86	0.33	0.49	0.55	0.43	0.78	0.41	0.18
SLC38A10	0.91	0.34	0.08	0.45	0.36	0.17	0.55	0.67	0.06	0.66	0.65	0.21	0.19	0.34	0.98	0.14	0.18	0.95	0.96	0.96	0.74	0.95	0.80	0.91	0.70	0.81	0.07	0.27	0.91	0.82	0.28	0.29	0.76	0.11	0.42	0.03	0.60	0.36	0.60	0.45	0.39	0.23	0.79	0.50	0.32	0.31	0.80	0.52	0.72	0.40	0.05	0.46	0.75	0.74	0.26	0.43	0.56	0.72	0.98	0.40	0.87	0.82	0.74	0.30	0.89
FAM195B	0.02	0.04	0.08	0.53	0.04	0.90	0.06	0.64	0.23	0.53	0.37	0.58	0.20	0.43	0.80	0.37	0.98	0.05	0.19	0.16	0.85	0.78	0.37	0.70	0.37	0.01	0.37	0.93	0.57	0.28	0.52	0.87	0.76	0.18	0.66	0.67	0.90	0.52	0.09	0.87	0.14	0.79	0.61	0.94	0.55	0.81	0.99	0.09	0.70	0.73	0.14	0.11	0.36	0.89	0.91	0.16	0.43	0.51	0.57	0.86	0.84	0.06	0.74	0.13	0.03
MAFG	0.82	0.06	0.66	0.56	0.78	0.50	0.87	0.32	0.62	0.98	0.89	0.36	0.37	0.04	0.14	0.44	0.41	0.89	0.49	0.29	0.59	0.39	0.29	0.97	0.36	0.48	0.86	0.37	0.31	0.04	0.35	0.12	0.30	0.95	0.53	0.36	0.06	0.79	0.04	0.26	0.08	0.80	0.27	0.70	0.98	0.18	0.94	0.06	0.20	0.09	0.01	0.93	0.85	0.19	0.31	0.34	0.22	0.85	0.46	0.45	0.81	0.22	0.27	0.88	0.60
CSNK1D	0.28	0.77	0.44	0.15	0.79	0.29	0.33	0.53	0.50	0.99	1.00	0.90	0.66	0.01	0.37	0.23	0.11	0.54	0.47	0.72	0.64	0.05	0.61	0.56	0.71	0.26	0.81	0.74	0.04	0.48	0.81	0.45	0.53	0.87	0.25	0.26	0.25	0.66	0.48	0.76	0.05	0.27	0.37	0.36	0.79	0.65	0.32	0.20	0.92	0.74	0.63	1.00	0.33	0.87	0.65	0.22	0.44	0.95	0.93	0.55	0.88	0.03	0.85	0.06	0.53
DNPEP	0.98	0.65	0.48	0.85	0.76	0.25	0.60	0.37	0.45	0.45	0.82	0.38	0.03	0.95	0.91	0.73	0.11	0.33	0.95	0.02	0.50	0.48	0.52	0.80	0.71	0.46	0.01	0.84	0.96	0.17	0.79	0.68	0.23	0.48	0.64	0.92	0.57	0.74	0.01	0.60	0.09	0.33	0.76	0.38	0.09	0.97	0.65	0.54	0.72	0.54	0.09	0.16	0.88	0.93	0.60	0.53	0.14	0.12	0.11	0.97	0.58	0.51	0.87	0.97	0.26
ITSN2	0.34	0.18	0.94	0.44	0.97	0.10	0.45	0.25	0.96	0.79	0.31	0.81	0.59	0.76	0.67	0.76	0.05	0.99	0.53	0.57	0.24	0.82	0.91	0.04	0.15	0.16	0.45	0.20	0.13	0.37	0.32	0.55	0.76	0.93	0.33	0.54	0.07	0.76	0.97	0.77	0.15	0.37	0.24	0.53	0.82	0.11	0.33	0.73	0.28	0.30	0.18	0.63	0.07	0.41	0.81	0.12	0.96	0.40	0.09	0.02	0.35	0.80	0.83	0.31	0.19
HS1BP3	0.09	0.20	0.71	0.47	0.49	0.56	0.08	0.52	0.86	0.51	0.40	0.17	0.68	0.49	0.93	0.33	0.07	0.75	0.99	0.01	0.09	0.39	0.42	0.86	0.78	0.95	0.36	0.78	0.44	0.85	0.57	0.01	0.51	0.07	0.11	0.24	0.32	0.16	0.74	0.52	0.96	0.99	0.62	0.17	0.65	0.74	0.47	0.70	0.43	0.73	0.15	0.49	0.76	0.26	0.64	0.74	0.56	0.26	0.98	0.21	0.79	0.55	0.91	0.71	0.31
DDX1	0.94	0.32	0.32	0.99	0.54	0.30	0.61	0.82	0.47	0.02	0.81	0.80	0.38	0.07	0.38	0.08	0.86	0.34	0.76	0.54	0.21	0.79	0.84	0.35	0.10	0.74	0.91	0.10	0.13	0.04	0.95	0.62	0.00	0.34	0.89	0.97	0.49	0.50	0.23	0.04	0.05	0.18	0.88	0.14	0.78	0.47	0.93	0.30	0.01	0.17	0.06	0.87	0.83	0.55	0.15	0.05	0.00	0.67	0.03	0.95	0.03	0.11	0.48	0.19	0.00
EG245297	0.69	0.94	0.37	0.03	0.32	0.67	0.15	0.47	0.60	0.93	0.83	0.54	0.80	0.56	0.97	0.95	0.90	0.61	0.73	0.10	0.93	0.78	0.90	0.32	0.66	0.68	0.13	0.00	0.22	0.71	0.38	0.19	0.56	0.07	0.05	0.51	0.93	0.30	0.77	0.95	0.65	0.12	0.58	0.90	0.72	0.46	0.10	0.20	0.68	0.33	0.07	0.76	0.84	0.94	0.90	0.19	0.94	0.39	0.40	0.32	0.68	0.59	0.45	0.78	0.43
AK133650	0.58	0.71	0.74	0.92	0.33	0.51	0.17	0.21	0.56	0.55	0.89	0.90	0.48	0.14	0.95	0.52	0.71	0.08	0.03	0.30	0.66	0.98	0.15	0.27	0.57	0.72	0.54	0.45	0.45	0.47	0.35	0.24	0.31	0.47	0.05	0.96	0.84	0.19	0.86	0.15	0.92	0.17	0.71	0.73	0.08	0.01	0.96	0.79	0.30	0.11	0.63	0.35	0.81	0.70	0.39	0.73	0.46	0.17	0.91	0.37	0.53	0.60	0.16	0.61	0.97
CMPK2	0.02	0.26	0.27	0.27	0.06	0.49	0.28	0.13	0.08	0.35	0.83	0.91	0.50	0.88	0.70	0.53	0.86	0.16	0.57	0.81	0.19	0.11	0.84	0.19	0.67	0.04	0.11	0.91	0.04	0.90	0.71	0.90	0.82	0.08	0.44	0.72	0.68	0.57	0.57	0.58	0.64	0.46	0.57	0.21	0.33	0.60	0.13	0.02	0.91	0.27	0.72	0.77	0.63	0.09	0.38	0.85	0.77	0.78	0.92	0.31	0.34	0.57	0.59	0.52	0.40
DLD	0.13	0.14	0.93	0.35	0.73	0.84	0.04	0.56	0.43	0.89	0.21	0.78	0.28	0.30	0.12	0.35	0.97	0.43	0.90	0.97	0.79	0.67	0.17	0.06	0.15	0.91	0.10	0.80	0.50	0.37	0.66	0.68	0.60	0.93	0.93	0.28	0.08	0.48	0.10	0.65	0.70	0.53	0.09	0.96	0.78	0.88	0.47	0.24	0.89	0.96	0.65	0.47	0.31	0.23	0.19	0.83	0.43	0.78	0.09	0.93	0.57	0.77	0.88	0.33	0.42
SYPL	0.05	0.75	0.99	0.26	0.71	0.56	0.73	0.12	0.58	0.42	0.49	0.29	0.13	0.27	0.34	0.55	0.77	0.54	0.07	0.17	0.31	0.02	0.92	0.15	0.25	0.47	0.35	0.68	0.71	0.53	0.57	0.34	0.10	0.66	0.54	0.56	0.94	0.36	0.91	0.81	0.65	0.79	0.18	0.25	0.30	0.81	0.30	0.52	0.42	0.97	0.01	0.45	0.06	0.94	1.00	0.12	0.68	0.50	0.93	0.50	0.37	0.70	0.56	0.31	0.85
ANKMY2	0.46	0.59	0.36	0.95	0.19	0.65	0.82	0.61	0.45	0.12	0.49	0.02	0.77	0.73	0.28	0.25	0.98	0.30	0.91	0.79	0.73	0.15	0.66	0.26	0.17	0.72	0.79	0.71	0.38	0.55	0.31	1.00	0.53	0.86	0.38	0.67	0.51	0.86	0.53	0.64	0.98	0.19	0.50	0.57	0.58	0.57	0.69	0.35	0.10	0.04	0.79	0.30	0.08	0.77	0.49	0.68	0.91	0.95	0.07	0.84	1.00	0.79	0.46	0.80	0.64
G2E3	0.98	0.34	0.89	0.69	0.54	0.60	0.44	0.40	0.45	0.26	0.76	0.95	0.56	0.95	0.44	0.45	0.62	1.00	0.19	0.12	0.32	0.85	0.96	0.72	0.40	0.42	0.09	0.28	0.85	0.78	0.94	0.01	0.75	0.57	0.30	0.60	0.84	0.85	0.75	0.54	0.16	0.74	0.64	0.52	0.23	0.22	0.44	0.02	0.70	0.19	0.24	0.75	0.50	0.85	0.59	0.56	0.44	0.77	0.74	0.99	0.80	0.44	0.85	0.29	0.95
1110002B05RIK	0.70	0.17	0.10	0.94	0.48	0.03	0.59	0.72	0.52	0.68	0.36	0.22	0.15	0.09	0.33	0.22	0.12	1.00	0.18	0.42	0.58	0.90	0.04	0.44	0.73	0.95	0.66	0.72	0.16	0.50	0.03	0.87	0.67	0.72	0.47	0.78	0.39	0.55	0.96	0.75	0.64	0.01	0.90	0.65	0.48	0.21	0.89	0.57	0.85	0.62	0.04	0.56	0.67	0.43	0.48	0.41	0.43	0.40	0.23	0.96	0.89	0.23	0.64	0.24	0.44
FAM177A	0.88	0.81	0.99	0.99	0.56	0.96	0.16	0.98	1.00	0.13	0.22	0.06	0.06	0.56	0.46	0.21	0.23	0.44	0.00	0.34	0.99	0.58	0.33	0.67	0.72	0.31	0.39	0.66	0.11	0.49	0.85	0.12	0.31	0.87	0.36	0.41	0.79	0.68	0.71	0.28	0.64	0.41	0.93	0.82	0.68	0.14	0.13	0.95	0.17	0.70	0.76	0.59	0.96	0.43	0.36	0.22	0.60	0.72	0.21	0.30	0.77	0.91	0.52	0.81	0.06
NKX2-1	0.01	0.09	0.13	0.63	0.60	0.69	0.24	0.63	0.46	0.22	0.44	0.04	0.56	0.65	0.69	0.21	0.02	0.83	0.85	0.06	0.64	0.40	0.15	0.96	0.38	0.36	0.17	0.37	0.30	0.24	0.40	0.91	0.80	0.14	0.86	0.05	0.10	0.16	0.29	0.44	0.85	0.42	0.49	0.59	0.42	0.96	0.50	0.37	0.75	0.26	0.68	0.82	0.87	0.54	0.40	0.47	0.46	0.76	0.88	0.97	0.06	0.01	0.92	0.27	0.73
FBXO33	0.95	0.53	0.26	0.71	0.03	0.93	0.32	0.72	0.23	0.32	0.24	0.50	0.18	0.73	0.89	0.30	0.22	0.50	0.56	0.30	0.51	0.31	0.41	0.71	0.22	0.43	0.20	0.40	0.02	0.41	0.59	0.03	0.42	0.73	0.57	0.41	0.72	0.32	0.73	0.54	0.63	0.45	0.74	0.16	0.87	0.31	0.83	0.47	0.14	0.23	0.42	0.27	0.08	0.39	0.91	0.08	0.50	0.25	0.21	0.55	0.96	0.77	0.25	0.93	0.53
RPL36AL	0.45	0.81	0.22	0.63	0.87	0.97	0.42	0.44	0.60	0.03	0.74	0.65	0.24	0.98	0.62	0.44	0.91	0.14	0.11	0.55	0.22	0.60	0.92	0.38	0.47	0.25	0.34	0.10	0.62	0.25	0.01	0.56	0.95	0.02	0.37	0.94	0.03	0.09	0.36	0.68	0.57	0.55	0.86	0.28	0.30	0.80	0.59	0.12	0.86	0.76	0.43	0.28	0.96	0.44	0.32	0.53	0.05	0.30	0.54	0.41	0.86	0.81	0.45	0.89	0.16
NIN	0.33	0.16	0.49	0.66	0.84	0.55	0.93	0.49	0.64	0.88	0.68	0.93	0.90	0.34	0.50	0.05	0.39	0.05	0.39	0.74	0.26	0.10	0.76	0.93	0.85	0.44	0.69	0.49	0.18	0.98	0.03	0.48	0.20	0.78	0.99	0.85	0.55	0.20	0.12	1.00	0.33	0.40	0.43	0.72	0.63	0.99	0.76	0.68	0.93	0.37	0.48	0.03	0.12	0.48	0.65	0.13	1.00	0.78	0.32	0.81	0.90	0.60	0.31	0.60	0.92
JKAMP	0.16	0.58	0.55	0.07	0.19	0.09	0.05	0.07	0.70	0.89	0.05	0.12	0.59	0.37	0.10	0.91	0.50	0.43	0.96	0.13	0.77	0.50	0.34	0.58	0.48	0.19	0.58	0.60	0.89	0.29	0.69	0.60	0.39	0.59	0.98	0.89	0.99	0.50	0.06	0.29	0.77	0.17	0.38	0.90	0.88	0.91	0.90	0.73	0.53	0.75	0.67	0.74	0.71	0.55	0.83	0.36	0.64	0.48	0.94	1.00	0.13	0.70	0.20	0.16	0.15
